Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
United States of America,United States,1961,Earths,0.011736986365451,1.6224764471674507,0.3239364891057999,0.03235309065302237,0.35134474135189,0.19402336714901938,2.535871121792635,3A,US
United States of America,United States,1962,Earths,0.011677537242457476,1.7027155428547975,0.31156424098182994,0.03202036281759437,0.36570562024419695,0.19692545187677907,2.6206087560176554,3A,US
United States of America,United States,1963,Earths,0.012389593492169747,1.8207372579905308,0.32587024847230633,0.0318005613216671,0.36114137575414546,0.1962079582951099,2.7481469953259308,3A,US
United States of America,United States,1964,Earths,0.011889209386470473,1.9141026548611335,0.28657194554665,0.030275421503650587,0.3826385972136706,0.18574095404423444,2.811218782555811,3A,US
United States of America,United States,1965,Earths,0.0135139658541478,2.037446020854677,0.32883770693519104,0.031146001592974887,0.3980904538378258,0.19022740134799312,2.999261550422812,3A,US
United States of America,United States,1966,Earths,0.013379531846306296,2.171611076782587,0.30702311124594056,0.031222393713528123,0.40966861994462894,0.19391514996940157,3.1268198835023924,3A,US
United States of America,United States,1967,Earths,0.014560527109169443,2.2705173709879043,0.34999063512737216,0.03092596071014806,0.40062000864831965,0.18944914155600884,3.2560636441389232,3A,US
United States of America,United States,1968,Earths,0.014818541780018563,2.4350712958535565,0.3787800771428386,0.030509809806557507,0.42889610430694575,0.19600216054609512,3.4840779894360154,3A,US
United States of America,United States,1969,Earths,0.01465385840608455,2.5633004868597866,0.39840297421326926,0.03098994720152046,0.4366409719819334,0.19030276860340087,3.6342910072659866,3A,US
United States of America,United States,1970,Earths,0.014151650567649141,2.732874508120157,0.3536978696789198,0.03448466850508117,0.43489790342821427,0.19227448839224767,3.7623810886922726,3A,US
United States of America,United States,1971,Earths,0.01600711801815119,2.8219655486777366,0.41409994004451994,0.033869613673929745,0.45860419203379416,0.18714737393419129,3.9316937863823327,3A,US
United States of America,United States,1972,Earths,0.01606789875071132,3.041307308621261,0.37221009169130514,0.035619736227511266,0.46260835969422365,0.19294008297801038,4.120753477963013,3A,US
United States of America,United States,1973,Earths,0.017134198937569903,3.1730904325302056,0.34195027047342513,0.036525813955219366,0.4690550597675056,0.18936988090554024,4.227125656569447,3A,US
United States of America,United States,1974,Earths,0.015593492222839556,3.0956420336102477,0.3114917183986168,0.03777264722033093,0.46815317707944254,0.18126963901939896,4.109922707550897,3A,US
United States of America,United States,1975,Earths,0.01813058517400866,2.951796465108573,0.3720999783564855,0.03860731881956856,0.41636505735506546,0.18289411235563546,3.97989351716934,3A,US
