Country Name,Short Name,year,Record,Built-up Land,Carbon,Cropland,Fishing Grounds,Forest Products,Grazing Land,Total,Data Quality Score,isoa2
United States of America,United States,1961,BiocapPerCap,0.0369706264970099,0,1.21559650810506,0.534502306596536,2.69292397154764,0.502617698666267,4.98261111141251,3A,US
United States of America,United States,1961,EFConsPerCap,0.0369706264970099,5.11067908411245,1.02037563771363,0.101909808302894,1.10670957601561,0.611159050135182,7.98780378277678,3A,US
United States of America,United States,1962,BiocapPerCap,0.0362647135559818,0,1.15274487382432,0.526032721579662,2.65300281477526,0.494205691220391,4.86225081495561,3A,US
United States of America,United States,1962,EFConsPerCap,0.0362647135559818,5.28780085619771,0.96756599605716,0.0994395702988398,1.13570261336863,0.611554042253758,8.13832779173208,3A,US
United States of America,United States,1963,BiocapPerCap,0.0377577622114509,0,1.20027477382244,0.518190219818878,2.6120970377851,0.478378158818163,4.84669795245603,3A,US
United States of America,United States,1963,EFConsPerCap,0.0377577622114509,5.54876675172465,0.993102103098056,0.0969134324974444,1.10059221870832,0.597951291782345,8.37508356002227,3A,US
United States of America,United States,1964,BiocapPerCap,0.0356863390223345,0,1.11030399564289,0.511168360845845,2.57578354580067,0.470267203025879,4.70320944433762,3A,US
United States of America,United States,1964,EFConsPerCap,0.0356863390223345,5.74532031899921,0.860166834533622,0.0908739110148764,1.14851797620256,0.557515175390663,8.43808055516327,3A,US
United States of America,United States,1965,BiocapPerCap,0.0398615071843282,0,1.2191887408589,0.504662019986494,2.5430853474238,0.460452684121701,4.76725029957523,3A,US
United States of America,United States,1965,EFConsPerCap,0.0398615071843282,6.00975835476544,0.969957062119699,0.091869890723485,1.17422862074189,0.561104786509562,8.84678022204441,3A,US
United States of America,United States,1966,BiocapPerCap,0.0390517569533516,0,1.17288432244218,0.498149309947172,2.51850565980803,0.456041129337693,4.68463217848843,3A,US
United States of America,United States,1966,EFConsPerCap,0.0390517569533516,6.33843014403617,0.896129405510428,0.0911309412622807,1.1957278895307,0.56599344380412,9.12646358109705,3A,US
United States of America,United States,1967,BiocapPerCap,0.0417824495585902,0,1.23382752096345,0.492799428395791,2.49050386441492,0.452666795575489,4.71158005890825,3A,US
United States of America,United States,1967,EFConsPerCap,0.0417824495585902,6.51540818638786,1.00432257352684,0.0887442043639319,1.14960709718875,0.543637544275255,9.34350205530123,3A,US
United States of America,United States,1968,BiocapPerCap,0.041850541189662,0,1.26943307535195,0.487066330473379,2.46160517766125,0.438273745735696,4.69822887041193,3A,US
United States of America,United States,1968,EFConsPerCap,0.041850541189662,6.87713089990392,1.06975108992606,0.0861658367572851,1.21128882624515,0.553549506757663,9.83973670077975,3A,US
United States of America,United States,1969,BiocapPerCap,0.0405660571214484,0,1.27426677590326,0.481713440459284,2.42965938696845,0.42044629486436,4.6466519553168,3A,US
United States of America,United States,1969,EFConsPerCap,0.0405660571214484,7.09594641137074,1.10289299660353,0.0857890074770725,1.20874667409296,0.526812308922674,10.0607534555884,3A,US
United States of America,United States,1970,BiocapPerCap,0.0385524133783774,0,1.19706640803963,0.477302706688991,2.40659626538906,0.415677061538781,4.53519485503483,3A,US
United States of America,United States,1970,EFConsPerCap,0.0385524133783774,7.44499076235884,0.96355590591567,0.0939443204217733,1.18476383162557,0.52380077667826,10.2496080103785,3A,US
