Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFE,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,807000.00,811070.00,816600.00,828610.01,849479.99,875579.99,892349.98,917560.02,956139.99,942640.00,945980.01,985429.99,1031909.99,1072750.00,1115909.99,1142860.02,1143610.00,1207470.00,1266980.02,1250180.01,1306100.01,1308610.03,1318919.99,1342549.97,1370949.98,1369670.01,1385480.01,1401180.02,1407690.03,1427180.00,,
Afganistán,AFG,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11970.00,12200.00,11420.00,11500.00,11540.00,11970.00,13000.00,13970.00,14790.00,15670.00,13890.00,12250.00,14890.00,15530.00,15310.00,16230.00,16740.00,17140.00,20540.00,22630.00,27120.00,29410.00,28800.00,27020.00,26760.00,27090.00,26890.00,26530.00,27690.00,28640.00,,
,AFW,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398320.00,434810.00,456619.99,457090.00,513829.99,523890.01,551809.99,552220.01,549470.00,545490.00,569409.99,572110.01,561879.99,594750.00,600380.00,623370.00,617160.00,610350.00,623910.01,614410.00,657490.00,678150.01,691350.02,718840.00,738380.00,748350.00,781940.02,790770.01,812780.00,833840.00,,
Angola,AGO,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43150.00,43580.00,44290.00,47270.00,50160.00,53320.00,54670.00,55460.00,59690.00,58640.00,57640.00,57750.00,60210.00,65720.00,67430.00,66960.00,65860.00,70200.00,72680.00,73800.00,77730.00,79150.00,77400.00,81090.00,82390.00,87360.00,85910.00,81010.00,75240.00,79680.00,,
Albania,ALB,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11100.00,8760.00,6750.00,6720.00,7540.00,7370.00,7090.00,6350.00,6600.00,7820.00,8140.00,8110.00,8750.00,9090.00,9160.00,8950.00,8850.00,8860.00,8600.00,8640.00,8900.00,9330.00,8880.00,8930.00,9360.00,9220.00,9090.00,9660.00,9450.00,9010.00,,
Andorra,AND,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.00,430.00,430.00,440.00,440.00,460.00,490.00,510.00,540.00,570.00,590.00,590.00,600.00,610.00,640.00,660.00,640.00,640.00,640.00,620.00,630.00,600.00,600.00,590.00,570.00,580.00,590.00,590.00,620.00,630.00,,
El mundo árabe,ARB,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1115020.00,1103970.00,1174960.00,1257590.00,1326619.98,1368390.00,1414430.00,1481210.01,1516109.98,1542410.02,1611570.00,1654740.02,1690330.00,1739150.00,1821170.01,1921030.00,1999759.98,2062060.01,2186110.04,2228829.99,2337490.01,2363640.00,2537139.98,2562239.99,2620259.98,2685770.04,2744510.00,2796759.97,2804929.98,2881820.04,,
Emiratos Árabes Unidos,ARE,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73250.00,81070.00,79190.00,83620.00,92200.00,97340.00,101710.00,104950.00,106990.00,108830.00,109020.00,123080.00,125400.00,133420.00,141210.01,150100.01,157120.00,168250.00,194020.00,194380.00,201890.00,207490.01,219590.00,230890.00,231800.00,245220.00,252920.00,248690.00,229380.00,243550.00,,
Argentina,ARG,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,247300.00,251720.00,256239.99,256820.01,260200.01,262790.01,271989.99,276769.99,282380.00,288709.99,290820.01,284140.01,280480.01,302570.01,318700.01,322739.99,337250.00,349820.01,354269.99,333820.01,339609.99,350250.00,355299.99,364480.01,363149.99,370000.00,373329.99,377209.99,375100.01,369049.99,,
Armenia,ARM,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24410.00,25010.00,14820.00,8580.00,6030.00,6640.00,5570.00,6190.00,6120.00,5620.00,5990.00,6100.00,5770.00,6200.00,6590.00,7320.00,7720.00,8370.00,8890.00,7740.00,7560.00,8200.00,9200.00,9140.00,9130.00,9160.00,9410.00,9250.00,9440.00,9960.00,,
Samoa Americana,ASM,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,ATG,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,350.00,370.00,450.00,420.00,430.00,450.00,480.00,510.00,560.00,580.00,600.00,640.00,700.00,740.00,750.00,780.00,850.00,910.00,960.00,1920.00,1030.00,1090.00,1260.00,1050.00,1060.00,1090.00,1120.00,1150.00,1190.00,1220.00,,
Australia,AUS,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,487000.00,486989.99,487649.99,489810.00,495780.00,503549.99,500980.01,507310.00,536320.01,572760.01,596960.02,624780.03,619280.03,539310.00,597429.99,560380.00,603109.99,606469.97,578950.01,593599.98,566440.00,668340.03,667440.00,580880.00,597270.02,596979.98,574450.01,623270.02,617390.01,585979.98,,
Austria,AUT,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76610.00,80890.00,75070.00,75000.00,75070.00,77550.00,81330.00,80280.00,80280.00,78470.00,78650.00,83000.00,84330.00,89450.00,90270.00,90350.00,88100.00,85060.00,84620.00,77710.00,83510.00,81530.00,78330.00,78870.00,75150.00,76340.00,76730.00,78650.00,75440.00,76920.00,,
Azerbaiyán,AZE,Emisiones de gases de efecto invernadero totales (kt de equivalente de CO2),EN.ATM.GHGT.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75680.00,73240.00,82320.00,61690.00,42370.00,41480.00,35910.00,35410.00,35790.00,36010.00,37740.00,37190.00,37250.00,39940.00,40080.00,42870.00,44720.00,43290.00,47650.00,43130.00,42020.00,44840.00,48050.00,49260.00,50620.00,50520.00,50860.00,50240.00,51690.00,54800.00,,
