Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Emisiones de metano (kt de equivalente de CO2),EN.ATM.METH.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFE,Emisiones de metano (kt de equivalente de CO2),EN.ATM.METH.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,320590.00,321170.00,326880.00,330320.00,339340.00,347470.00,351490.00,359480.01,377549.99,380660.00,380560.00,382970.00,403830.00,416980.00,425990.00,443060.00,442300.00,468920.00,486810.00,487680.00,503890.01,508730.00,494580.00,496860.00,501330.00,509910.00,515160.00,518240.00,520000.00,525300.00,,
Afganistán,AFG,Emisiones de metano (kt de equivalente de CO2),EN.ATM.METH.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6740.00,7020.00,7130.00,7210.00,7470.00,7830.00,8670.00,9400.00,9960.00,10780.00,9560.00,8350.00,10200.00,10510.00,10500.00,10730.00,11180.00,11610.00,12900.00,13390.00,15200.00,15500.00,15630.00,15820.00,16300.00,15960.00,15830.00,15610.00,15910.00,16370.00,,
,AFW,Emisiones de metano (kt de equivalente de CO2),EN.ATM.METH.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,225170.00,244580.00,253970.00,259030.00,264790.00,263710.00,269409.99,266670.00,262830.00,255050.00,261660.00,261810.00,257370.00,273290.00,279450.00,289690.00,288470.00,286410.00,287830.00,284060.00,300400.00,308020.00,310790.00,315620.00,323400.01,330440.00,343200.00,349770.00,359360.01,366630.00,,
Angola,AGO,Emisiones de metano (kt de equivalente de CO2),EN.ATM.METH.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21220.00,21490.00,21950.00,22580.00,23480.00,25230.00,25390.00,25690.00,27890.00,27090.00,27080.00,27090.00,28610.00,30730.00,31620.00,33100.00,32590.00,35330.00,36400.00,35530.00,36900.00,36640.00,35770.00,35760.00,34900.00,37110.00,37430.00,37620.00,34000.00,35090.00,,
Albania,ALB,Emisiones de metano (kt de equivalente de CO2),EN.ATM.METH.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3540.00,3500.00,3410.00,3490.00,4080.00,4080.00,3910.00,3700.00,3560.00,3610.00,3670.00,3610.00,3560.00,3570.00,3500.00,3490.00,3440.00,3300.00,3130.00,3020.00,3030.00,3020.00,3060.00,3060.00,3090.00,3110.00,3090.00,3050.00,3010.00,2850.00,,
Andorra,AND,Emisiones de metano (kt de equivalente de CO2),EN.ATM.METH.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.00,20.00,20.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,30.00,40.00,40.00,40.00,40.00,40.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,50.00,,
El mundo árabe,ARB,Emisiones de metano (kt de equivalente de CO2),EN.ATM.METH.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,407350.00,394510.00,409310.00,435070.00,457850.00,473230.00,484769.99,506850.00,530690.00,541429.99,565070.01,555350.00,552450.00,569779.99,589840.00,610509.99,621190.00,625570.01,640569.99,628790.00,647360.00,629390.00,684220.01,669139.99,660750.00,671170.00,696080.00,715760.00,733430.01,747469.99,,
Emiratos Árabes Unidos,ARE,Emisiones de metano (kt de equivalente de CO2),EN.ATM.METH.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16460.00,17870.00,17810.00,18280.00,19670.00,20370.00,21290.00,21520.00,21470.00,20970.00,22000.00,23520.00,23720.00,26970.00,28540.00,30890.00,32700.00,33440.00,34840.00,34070.00,35720.00,38360.00,40310.00,42440.00,42870.00,45710.00,47360.00,46900.00,47460.00,49800.00,,
Argentina,ARG,Emisiones de metano (kt de equivalente de CO2),EN.ATM.METH.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109580.00,108710.00,110650.00,109540.00,110490.00,111970.00,110720.00,111150.00,110140.00,114050.00,115920.00,116090.00,119340.00,126970.00,128810.00,128270.00,130539.99,130810.00,130190.00,124010.00,115950.00,115250.00,118710.00,120360.00,121540.00,122010.00,123600.00,127550.00,127540.00,128800.00,,
