Data Source;Indicadores del desarrollo mundial;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;20/07/2022;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Aruba;ABW;PIB (US$ a precios constantes de 2010);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;982616126,7;1140605386;1353312877;1517467571;1577580558;1703201286;1803389597;1935175760;2093935699;2147271255;2172733343;2325843124;2372173590;2401542098;2584457670;2692900552;2667108731;2697003796;2893373340;2882235963;2915061917;3005333289;3060433997;2702865574;2629007178;2717520017;2689383486;2862305920;2861719742;2963128492;3025849510;3191737811;3232184076;3164773635;2458429455;
;AFE;PIB (US$ a precios constantes de 2010);NY.GDP.MKTP.KD;1,53829E+11;1,54198E+11;1,66504E+11;1,75103E+11;1,83123E+11;1,92879E+11;2,00424E+11;2,1096E+11;2,19449E+11;2,31036E+11;2,41896E+11;2,5489E+11;2,60371E+11;2,71924E+11;2,87937E+11;2,92919E+11;3,01256E+11;3,04964E+11;3,08116E+11;3,1673E+11;3,33894E+11;3,48355E+11;3,50126E+11;3,50659E+11;3,612E+11;3,59583E+11;3,67803E+11;3,83371E+11;3,98697E+11;4,1025E+11;4,10087E+11;4,10519E+11;4,02394E+11;4,00815E+11;4,08935E+11;4,26482E+11;4,49668E+11;4,69561E+11;4,7824E+11;4,90848E+11;5,07296E+11;5,25856E+11;5,4633E+11;5,63159E+11;5,94179E+11;6,30524E+11;6,71854E+11;7,16226E+11;7,47334E+11;7,53023E+11;7,9182E+11;8,20966E+11;8,28544E+11;8,63345E+11;8,97744E+11;9,24253E+11;9,44743E+11;9,68902E+11;9,92981E+11;1,0131E+12;9,83852E+11;1,02619E+12
Afganistán;AFG;PIB (US$ a precios constantes de 2010);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7228792186;7867259194;7978511521;8874475612;9349917057;10642666467;11060389404;13426265140;15354604612;15420069703;17386481261;18360253681;18860486755;19134211764;19566705070;20084636379;20323488525;21118462797;20621946476;
;AFW;PIB (US$ a precios constantes de 2010);NY.GDP.MKTP.KD;1,04845E+11;1,06783E+11;1,10809E+11;1,18867E+11;1,25282E+11;1,30356E+11;1,28026E+11;1,15804E+11;1,17501E+11;1,35705E+11;1,60008E+11;1,77301E+11;1,82879E+11;1,90584E+11;2,10119E+11;2,05571E+11;2,23206E+11;2,33755E+11;2,28626E+11;2,40585E+11;2,45386E+11;2,28374E+11;2,20723E+11;2,06301E+11;2,07455E+11;2,18972E+11;2,2207E+11;2,25286E+11;2,362E+11;2,41566E+11;2,5742E+11;2,60306E+11;2,67319E+11;2,64216E+11;2,63425E+11;2,68501E+11;2,8093E+11;2,92826E+11;3,03094E+11;3,07401E+11;3,18882E+11;3,35504E+11;3,68717E+11;3,89065E+11;4,20243E+11;4,4482E+11;4,68727E+11;4,94651E+11;5,25712E+11;5,58698E+11;5,97566E+11;6,26538E+11;6,58761E+11;6,98973E+11;7,40404E+11;7,60734E+11;7,61707E+11;7,79361E+11;8,02369E+11;8,28065E+11;8,20638E+11;8,52764E+11
Angola;AGO;PIB (US$ a precios constantes de 2010);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;22133386923;21159517628;21159517628;22048217671;23371111209;24189099982;24890584303;25906804294;27494603955;27506047611;26557061824;26820337727;25254491117;19197601089;19454726739;22372935756;25403208899;27251108772;28529498194;29151866263;30042346235;31305926884;35584097416;36648061928;40661024712;46772376722;52174586232;59484245768;66128636017;66697342288;69938833122;72365710633;78545742323;82433756566;86407063631;87219290029;84969032349;84841578801;83724798831;83138725241;78566095350;79116058022
Albania;ALB;PIB (US$ a precios constantes de 2010);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;;;;;;4650625161;4917833121;5062840191;5118781450;5054714953;5144721429;5434741887;5391924672;5315357204;5838204918;5279159423;3800881723;3527708138;3864936282;4185836785;4743487914;5175145287;4610020246;5017058469;5663797625;6057217275;6559561240;6857137321;7236243584;7635298387;8057257368;8532849798;9043392346;9721650519;10047742807;10420206418;10685442993;10836881664;10945469119;11139690870;11386850130;11764322012;12211628287;12702457551;12967692915;12516205780;13585600822
Andorra;AND;PIB (US$ a precios constantes de 2010);NY.GDP.MKTP.KD;;;;;;;;;;;859121720,8;899066287,6;972337883,9;1048068101;1106956844;1112958827;1149728616;1182364532;1199662527;1200161073;1226669362;1225044338;1240314039;1262269065;1284796613;1314622306;1357391200;1432687348;1505673115;1578352472;1638036096;1679740553;1695348938;1677861678;1717848180;1765217871;1847295889;2014802622;2079171403;2164398280;2240766094;2422701909;2532846713;2753057567;2977037420;3137731826;3288615582;3339693969;3154034157;2986780566;2927792904;2927556638;2781926981;2683235436;2750436143;2789881259;2893376872;2903390036;2949518095;3008967037;2672445971;2911614331
El mundo árabe;ARB;PIB (US$ a precios constantes de 2010);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;5,68179E+11;6,57641E+11;7,10854E+11;7,06704E+11;7,84322E+11;8,5523E+11;8,84224E+11;8,10806E+11;7,60422E+11;7,70312E+11;7,54773E+11;7,88687E+11;7,88055E+11;8,33891E+11;8,5187E+11;9,5464E+11;9,77667E+11;1,02842E+12;1,06096E+12;1,0959E+12;1,12918E+12;1,18243E+12;1,23843E+12;1,30202E+12;1,32581E+12;1,41252E+12;1,4367E+12;1,44649E+12;1,51695E+12;1,65126E+12;1,74242E+12;1,84837E+12;1,93289E+12;2,04039E+12;2,04885E+12;2,14624E+12;2,21585E+12;2,3283E+12;2,388E+12;2,44409E+12;2,5187E+12;2,59867E+12;2,63096E+12;2,69316E+12;2,73588E+12;2,59768E+12;2,68939E+12
Emiratos Árabes Unidos;ARE;PIB (US$ a precios constantes de 2010);NY.GDP.MKTP.KD;;;;;;;;;;;;;;;;54529816488;63541881012;77164834678;75938219904;91827208839;1,13751E+11;1,19051E+11;1,11051E+11;1,05781E+11;1,1003E+11;1,06075E+11;90208226018;93259051722;90816683232;1,02022E+11;1,2072E+11;1,21758E+11;1,25831E+11;1,27418E+11;1,36205E+11;1,45314E+11;1,5374E+11;1,66332E+11;1,66818E+11;1,71659E+11;1,90289E+11;1,92951E+11;1,97646E+11;2,1504E+11;2,35612E+11;2,47051E+11;2,71355E+11;2,79996E+11;2,88933E+11;2,73784E+11;2,78173E+11;2,97446E+11;3,10783E+11;3,26487E+11;3,40885E+11;3,58135E+11;3,68822E+11;3,77577E+11;3,82069E+11;3,95104E+11;3,70866E+11;
Argentina;ARG;PIB (US$ a precios constantes de 2010);NY.GDP.MKTP.KD;1,50798E+11;1,58983E+11;1,57628E+11;1,49261E+11;1,64382E+11;1,81756E+11;1,80557E+11;1,8632E+11;1,95305E+11;2,1421E+11;2,20734E+11;2,33224E+11;2,37021E+11;2,43686E+11;2,57171E+11;2,57098E+11;2,51909E+11;2,69377E+11;2,57238E+11;2,83535E+11;2,87842E+11;2,72903E+11;2,70896E+11;2,82677E+11;2,87117E+11;2,72219E+11;2,88969E+11;2,96785E+11;2,93551E+11;2,72541E+11;2,65817E+11;2,90095E+11;3,1312E+11;3,38818E+11;3,58592E+11;3,48389E+11;3,67644E+11;3,97464E+11;4,12767E+11;3,98793E+11;3,95646E+11;3,78203E+11;3,36999E+11;3,6678E+11;3,99899E+11;4,35297E+11;4,70326E+11;5,12691E+11;5,33492E+11;5,01917E+11;5,52738E+11;5,85924E+11;5,7991E+11;5,93859E+11;5,78938E+11;5,94749E+11;5,82377E+11;5,98791E+11;5,83118E+11;5,71305E+11;5,14772E+11;5,67607E+11
