Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/7/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFE,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8126288624","0,7995095058","0,8091461884","0,8373082084","0,8376938535","0,8487639921","0,8291581475","0,8412811752","0,8466160106","0,7930450171","0,7820319634","0,8372186537","0,8290890427","0,8554832719","0,8700173556","0,8189717518","0,7787351585","0,7611169409","0,7732358253","0,7362108578","0,7378736511","0,6959758728","0,7047729408","0,6976480541","0,6924776812","0,6548567446","0,646623831","0,6366656183","0,6191161964",,,
Afganistán,AFG,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,1462612478","0,1649349294","0,1361315834","0,1776247488","0,1994326686","0,2131394693","0,3815016597","0,4295348048","0,5427287009","0,7641989951","0,5777060592","0,4455056452","0,3980159405","0,4013641071","0,3630187595","0,3531788737","0,3518657601",,,
,AFW,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3506531235","0,3839260505","0,4176776952","0,4357453801","0,4261807603","0,424494703","0,4337723531","0,4133193829","0,3874619857","0,3854515353","0,3770558191","0,3893355526","0,3640729701","0,3534418237","0,3364718549","0,3506809299","0,3279198632","0,3108233622","0,3008848038","0,2615438889","0,2791364981","0,2873864696","0,277026972","0,2760341382","0,2693905334","0,254867351","0,2572848786","0,2602941958","0,2810475495",,,
Angola,AGO,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,1781557475","0,1819805995","0,1885284786","0,2686447019","0,2570260459","0,3601404789","0,3357169101","0,3217288357","0,2978807813","0,3243398526","0,3077598808","0,3082306542","0,2860864667","0,3673157017","0,3545842982","0,290998127","0,2913873152","0,2951614907","0,2834860489","0,3042710073","0,3062496864","0,3056214833","0,2891198735","0,2988752099","0,300849135","0,302598294","0,3128208067","0,2728499528","0,2468300515",,,
Albania,ALB,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,145952002","1,081267867","0,6349378277","0,535554703","0,5112193849","0,4110670283","0,3806444569","0,3210219386","0,3587538113","0,524354974","0,5232958244","0,4908572888","0,5468249325","0,5679141833","0,5618295372","0,5050868913","0,474602921","0,4666206915","0,4289229218","0,4299482514","0,4395317962","0,471671357","0,4226310817","0,4376244223","0,4685949662","0,4452505863","0,4190645275","0,4585803705","0,4374931328",,,
Andorra,AND,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2503007278","0,2440862824","0,2418390797","0,244359611","0,238671631","0,2435969595","0,2436002745","0,2332743962","0,235671741","0,2356322441","0,2320644108","0,2146372451","0,209251551","0,1925139923","0,1881072164","0,1848476332","0,1672442914","0,1616921035","0,1712099857","0,1741011943","0,1776088954","0,1673757351","0,176137601","0,1788892239","0,1672468661","0,1684666197","0,1624405966","0,1618803741","0,1559582992",,,
El mundo árabe,ARB,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,7051153463","0,7191265357","0,7085249689","0,7352825945","0,7504497497","0,7507899533","0,7425708713","0,7321969001","0,7004465196","0,6951001263","0,6722485024","0,7010965204","0,7265298619","0,7119763879","0,6897067966","0,7134147995","0,7060363277","0,7059767716","0,7200092594","0,7501920579","0,7555677791","0,7416708222","0,7490907267","0,7376392179","0,7507739913","0,7466291195","0,7300748693","0,7299512566","0,7134251699",,,
Emiratos Árabes Unidos,ARE,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,458571203","0,5047226715","0,4736157041","0,4874011635","0,5010031811","0,4995098936","0,4927375266","0,4893183585","0,502269979","0,5006196448","0,4439411349","0,4985112523","0,4960721189","0,4810856902","0,4664363657","0,4703205783","0,4472726145","0,4699783229","0,5402076355","0,5736741922","0,5848844291","0,5587353068","0,5650087263","0,5634470976","0,5395359943","0,541806773","0,5403992988","0,5511328085","0,5238599871",,,
Argentina,ARG,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3755964467","0,3630539943","0,3428395381","0,3276980974","0,3173801508","0,3266747317","0,3442462916","0,3203312894","0,3226278715","0,3364907517","0,3334040476","0,3301668954","0,3485762534","0,3499643549","0,3547146549","0,3361386316","0,3303456399","0,3191591965","0,3151875327","0,3136773229","0,3041946651","0,3025305518","0,3078579847","0,3098378747","0,3107588932","0,3128881439","0,3164275757","0,3008061993","0,3040811639",,,
Armenia,ARM,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,399102293","4,012393359","3,628673791","1,841432231","0,9498065158","1,138187992","0,787201586","0,9901713771","0,9587241209","0,8318102101","0,8991204916","0,8295830009","0,6351342174","0,6249914982","0,607619401","0,6327831731","0,562755797","0,5732136389","0,5867427512","0,5414007394","0,5097780555","0,5542065753","0,5986127581","0,5572015397","0,5358835446","0,5060010554","0,4794578167","0,4679997403","0,464099631",,,
Samoa Americana,ASM,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua y Barbuda,ATG,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2827694907","0,2899242748","0,377796232","0,3093529466","0,2899910908","0,3274665693","0,3185560545","0,3236037293","0,3398837756","0,3277326993","0,3085895582","0,342886443","0,3781878049","0,3748067551","0,3457269545","0,3328236844","0,3169040053","0,3030760385","0,3162986169","1,040409065","0,3979657927","0,4224841218","0,5769871668","0,3789212489","0,3728317263","0,366576431","0,354564383","0,3437546781","0,3406998968",,,
Australia,AUS,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,4174341753","0,42086624","0,4249179806","0,4145457272","0,4078995953","0,407399635","0,4065454007","0,4004064312","0,4089561075","0,3955997978","0,3872236262","0,3867841676","0,380452199","0,3684793537","0,3674785535","0,3602023355","0,3556731184","0,3519215199","0,3422601326","0,3413308852","0,3279819203","0,3187929882","0,3067731178","0,2940044549","0,2796418188","0,2781472762","0,2764002868","0,2724643142","0,2642623294",,,
Austria,AUT,Emisiones de CO2 (kg por US$ del PIB de 2010),EN.ATM.CO2E.KD.GD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2422543687","0,2508736323","0,2270298737","0,2263492171","0,2229134481","0,2278854801","0,2361924493","0,2289249346","0,2225582889","0,2095315123","0,2042323599","0,2155811405","0,2166380347","0,2303649573","0,2282672758","0,2245531898","0,2109633855","0,195532626","0,1913384752","0,1810858087","0,1931112169","0,1830948048","0,1734397685","0,1750999393","0,1640021181","0,1653931239","0,1627832264","0,1650876357","0,1544568268",,,
