Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFE,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,486.21,519.61,543.31,569.59,590.00,611.70,617.01,636.24,671.81,705.15,728.94,738.76,741.12,776.83,793.78,803.76,797.31,805.63,804.31,791.12,769.86,733.35,728.19,730.08,741.64,819.86,829.83,791.45,769.80,780.70,743.92,769.08,774.33,777.67,780.85,789.49,796.90,760.58,723.91,740.42,740.74,703.91,698.37,686.73,,,,,,,
Afganistán,AFG,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFW,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,73.74,80.76,88.23,89.45,97.20,102.98,110.48,106.57,113.98,120.49,113.25,131.00,111.31,89.64,110.43,125.85,129.20,129.94,134.36,129.89,131.24,133.52,137.13,131.86,133.28,131.03,132.86,119.73,126.08,116.71,119.05,133.75,123.90,138.89,145.33,144.98,158.42,154.50,152.78,165.07,175.11,185.52,181.13,186.20,,,,,,,
Angola,AGO,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,92.03,100.50,113.59,136.36,139.38,60.31,58.27,56.35,58.57,60.66,58.56,60.32,63.27,52.21,60.63,58.53,56.79,55.20,53.60,53.17,54.45,53.49,52.01,50.65,49.26,51.11,69.33,73.31,71.91,75.26,82.62,86.02,95.85,87.54,109.30,144.72,133.27,172.38,189.26,206.45,207.01,219.25,280.21,312.23,,,,,,,
Albania,ALB,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,532.03,568.40,593.45,591.03,739.35,908.67,1067.81,1098.48,1065.77,1142.97,1123.97,1096.87,1070.69,1018.10,796.35,1420.61,1161.95,1005.94,1021.39,552.25,418.45,453.64,536.36,596.41,663.78,904.35,694.66,734.85,1414.70,1449.65,1351.23,1578.17,1469.26,1797.53,1722.07,1218.36,1213.12,1617.74,1835.68,1943.34,2205.70,2118.33,2533.25,2309.37,,,,,,,
Andorra,AND,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El mundo árabe,ARB,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,197.01,211.77,231.21,255.76,283.26,326.44,370.48,428.03,516.41,578.67,625.84,715.79,771.96,858.05,884.96,962.73,1001.09,1037.71,1057.68,1074.00,1038.84,1072.09,1126.18,1153.11,1260.00,1297.72,1341.64,1434.27,1485.89,1518.76,1581.59,1650.07,1720.81,1767.79,1842.77,1943.07,1998.32,2065.10,2123.65,2301.34,2337.73,2377.25,2433.63,2508.46,,,,,,,
Emiratos Árabes Unidos,ARE,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,681.17,1314.33,1700.35,1876.11,2321.74,2829.48,3737.01,4190.32,4982.01,5752.78,6118.90,7117.00,7677.11,7905.90,8169.58,8239.16,8282.22,8482.13,8232.72,8500.70,8151.11,8284.41,9099.30,9414.32,9402.93,9512.74,9925.65,11232.35,12219.03,12314.03,12133.63,12502.70,12366.07,11958.97,12279.92,11693.39,11451.90,11294.19,10618.81,10609.94,10287.06,10416.01,10724.50,11088.34,,,,,,,
Argentina,ARG,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,874.46,925.32,962.27,993.23,1011.99,1032.49,1081.75,1093.42,1217.17,1243.63,1197.59,1208.67,1259.17,1300.80,1288.87,1330.37,1413.85,1452.31,1320.36,1303.98,1347.59,1410.38,1496.90,1576.77,1648.90,1728.12,1848.00,1967.25,2033.77,2088.81,2120.58,2014.48,2180.33,2293.31,2408.43,2374.10,2455.66,2772.84,2730.12,2877.65,2929.08,3000.60,2967.38,3074.70,,,,,,,
Armenia,ARM,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2722.60,2689.68,1962.64,1195.02,1045.48,1050.24,1219.93,1509.06,1308.59,1307.53,1297.56,1269.22,1236.33,1320.44,1440.32,1521.50,1639.79,1773.16,1669.41,1661.30,1726.26,1807.03,1892.01,1931.26,1961.61,,,,,,,
Samoa Americana,ASM,Suministro total de energía (GJ per cápita),EG.USE.ELEC.KH.PC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
