Data Source,Indicadores del desarrollo mundial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,20/07/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,AFE,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189480.00,189120.00,191600.00,191220.00,194000.00,196150.00,195960.00,196340.00,207440.00,205100.00,203230.00,202400.00,216190.00,220890.00,223010.00,231240.00,224390.00,239430.00,246590.00,244840.00,255340.00,259730.00,261270.00,259480.00,259870.00,262460.00,266510.00,268100.00,268290.00,267460.00,,
Afganistán,AFG,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2840.00,2930.00,2890.00,2930.00,2760.00,2880.00,3120.00,3430.00,3720.00,4000.00,3480.00,3070.00,3560.00,3690.00,3670.00,3820.00,3660.00,3600.00,3880.00,4160.00,4580.00,4680.00,4720.00,4770.00,5090.00,4620.00,5050.00,5270.00,4690.00,5010.00,,
,AFW,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75050.00,78450.00,79640.00,81410.00,141120.00,142200.00,145410.00,147450.00,152980.00,153230.00,159600.00,154350.00,156270.00,163820.00,163230.00,171590.00,171770.00,172020.00,174180.00,171830.00,178570.00,182810.00,184650.00,189490.00,190400.00,194090.00,204420.00,205020.00,207550.00,209390.00,,
Angola,AGO,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15370.00,15410.00,15460.00,15410.00,15370.00,15350.00,13810.00,13580.00,14990.00,13880.00,14290.00,14630.00,15840.00,18150.00,18270.00,17960.00,16610.00,17780.00,16870.00,16970.00,17850.00,18440.00,17520.00,18100.00,17560.00,18270.00,18350.00,18740.00,16840.00,18910.00,,
Albania,ALB,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1560.00,1190.00,1100.00,1150.00,1360.00,1340.00,1190.00,1120.00,1160.00,1120.00,1180.00,1140.00,1290.00,1300.00,1260.00,1270.00,1210.00,1200.00,1130.00,1120.00,1110.00,1150.00,1150.00,1120.00,1140.00,1190.00,1220.00,1190.00,1080.00,1100.00,,
Andorra,AND,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,
El mundo árabe,ARB,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70460.00,69510.00,70870.00,74330.00,75680.00,77500.00,80910.00,82300.00,86120.00,87450.00,93260.00,93020.00,96310.00,95450.00,99350.00,101510.00,101830.00,103880.00,103820.00,106440.00,105790.00,108280.00,109860.00,111490.00,111260.00,111780.00,113230.00,114110.00,114150.00,116040.00,,
Emiratos Árabes Unidos,ARE,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,510.00,570.00,620.00,660.00,700.00,750.00,780.00,800.00,820.00,860.00,900.00,960.00,1090.00,1160.00,1180.00,1250.00,1300.00,1350.00,1460.00,1560.00,1600.00,1600.00,1620.00,1770.00,1810.00,1770.00,1870.00,2030.00,1960.00,1940.00,,
Argentina,ARG,Emisiones de óxido nitroso (miles de toneladas métricas de equivalente de CO2),EN.ATM.NOXE.KT.CE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35570.00,35450.00,36180.00,35700.00,36660.00,36710.00,37060.00,37380.00,37040.00,37210.00,39280.00,39080.00,39620.00,43550.00,43770.00,43390.00,44750.00,47170.00,45840.00,40250.00,41470.00,42600.00,42070.00,43510.00,43850.00,43500.00,46450.00,49040.00,48210.00,48530.00,,
